ticker,check,statistic,observed,lower,upper,inside
ALB,posterior,volatility_pct,3.6865471655107047,2.1502240444950225,2.8780335827410717,False
ALB,posterior,q01_pct,-8.612172417342663,-8.918024029687444,-4.416115634365533,True
ALB,posterior,q99_pct,8.153515011072157,4.515083094915777,8.837851957818684,True
ALB,posterior,max_drawdown_pct,-47.38481184311733,-71.10540310580193,-11.626231753770732,True
ALGN,prior,mean_pct,0.076053904436435,-0.4201175714783537,0.45522948229509874,True
ALGN,prior,volatility_pct,2.475109133190863,0.2123767568645578,3.757111558008844,True
ALGN,prior,q01_pct,-5.639719571918249,-9.347358394033476,-0.45114083776124775,True
ALGN,prior,q99_pct,7.055445648729795,0.48219812078311164,9.325640916818948,True
ALGN,prior,max_drawdown_pct,-21.54320700350215,-70.82048943965566,-1.2993932549424958,True
ALGN,posterior,mean_pct,0.076053904436435,-0.4570250312414274,0.4984524115776411,True
ALGN,posterior,volatility_pct,2.475109133190863,1.9841633637618765,2.8285861640292773,True
ALGN,posterior,q01_pct,-5.639719571918249,-8.458506956760678,-4.075071305589002,True
ALGN,posterior,q99_pct,7.055445648729795,4.4163955300047,8.282613059927668,True
ALGN,posterior,max_drawdown_pct,-21.54320700350215,-74.99375272837406,-12.301627819171312,True
ALL,prior,mean_pct,0.11614458901192393,-0.4201175714783537,0.45522948229509874,True
ALL,prior,volatility_pct,1.5591660970534047,0.2123767568645578,3.757111558008844,True
ALL,prior,q01_pct,-3.970490880310535,-9.347358394033476,-0.45114083776124775,True
ALL,prior,q99_pct,4.142076559364793,0.48219812078311164,9.325640916818948,True
ALL,prior,max_drawdown_pct,-11.483810233051827,-70.82048943965566,-1.2993932549424958,True
ALL,posterior,mean_pct,0.11614458901192393,-0.153139465745971,0.4364115529922786,True
ALL,posterior,volatility_pct,1.5591660970534047,1.324531311633048,2.6664926974938976,True
ALL,posterior,q01_pct,-3.970490880310535,-6.792212552358813,-2.8068357276847182,True
ALL,posterior,q99_pct,4.142076559364793,2.8779878946122497,7.271900938629392,True
ALL,posterior,max_drawdown_pct,-11.483810233051827,-47.70016367963889,-7.039705213046624,True
ALLE,prior,mean_pct,-0.015203331160762446,-0.4201175714783537,0.45522948229509874,True
ALLE,prior,volatility_pct,1.7182144051335078,0.2123767568645578,3.757111558008844,True
ALLE,prior,q01_pct,-3.896514568477869,-9.347358394033476,-0.45114083776124775,True
ALLE,prior,q99_pct,3.7905115447938407,0.48219812078311164,9.325640916818948,True
ALLE,prior,max_drawdown_pct,-29.840559003462264,-70.82048943965566,-1.2993932549424958,True
ALLE,posterior,mean_pct,-0.015203331160762446,-0.47184687144427734,0.3477602524650609,True
ALLE,posterior,volatility_pct,1.7182144051335078,1.3398251755154928,3.0784074155423324,True
ALLE,posterior,q01_pct,-3.896514568477869,-9.548863896264274,-3.02843183489356,True
ALLE,posterior,q99_pct,3.7905115447938407,2.743792454383297,8.55510591744606,True
ALLE,posterior,max_drawdown_pct,-29.840559003462264,-73.55708458140283,-10.363826452648809,True
AMAT,prior,mean_pct,0.4666622052468483,-0.4201175714783537,0.45522948229509874,False
AMAT,prior,volatility_pct,3.718548692841454,0.2123767568645578,3.757111558008844,True
AMAT,prior,q01_pct,-8.435431681573391,-9.347358394033476,-0.45114083776124775,True
AMAT,prior,q99_pct,10.985700637102124,0.48219812078311164,9.325640916818948,False
AMAT,prior,max_drawdown_pct,-39.64368913974926,-70.82048943965566,-1.2993932549424958,True
AMAT,posterior,mean_pct,0.4666622052468483,-0.3023544192859626,0.6872790515387991,True
AMAT,posterior,volatility_pct,3.718548692841454,2.112358078501714,2.9164220397974576,False
AMAT,posterior,q01_pct,-8.435431681573391,-9.23232895458609,-4.5223994452571015,True
AMAT,posterior,q99_pct,10.985700637102124,4.6223860923083,9.517589761584865,False
AMAT,posterior,max_drawdown_pct,-39.64368913974926,-62.60195052427069,-11.372148607059135,True
AMCR,prior,mean_pct,0.05725596817001133,-0.4201175714783537,0.45522948229509874,True
AMCR,prior,volatility_pct,1.9483872303882772,0.2123767568645578,3.757111558008844,True
AMCR,prior,q01_pct,-5.005604904145002,-9.347358394033476,-0.45114083776124775,True
AMCR,prior,q99_pct,5.594143383204911,0.48219812078311164,9.325640916818948,True
AMCR,prior,max_drawdown_pct,-26.509509249097174,-70.82048943965566,-1.2993932549424958,True
AMCR,posterior,mean_pct,0.05725596817001133,-0.41060704092194034,0.30424227472998466,True
AMCR,posterior,volatility_pct,1.9483872303882772,1.545764506580401,2.896091723689154,True
AMCR,posterior,q01_pct,-5.005604904145002,-8.869515078417907,-3.346541161564664,True
AMCR,posterior,q99_pct,5.594143383204911,3.2485485769271,8.305776287366013,True
AMCR,posterior,max_drawdown_pct,-26.509509249097174,-69.9446351604671,-12.850050876839642,True
AMD,prior,mean_pct,0.5059283507691248,-0.4201175714783537,0.45522948229509874,False
AMD,prior,volatility_pct,4.494153199677947,0.2123767568645578,3.757111558008844,False
AMD,prior,q01_pct,-7.979640476405621,-9.347358394033476,-0.45114083776124775,True
AMD,prior,q99_pct,13.40913176536559,0.48219812078311164,9.325640916818948,False
AMD,prior,max_drawdown_pct,-27.760750910310115,-70.82048943965566,-1.2993932549424958,True
AMD,posterior,mean_pct,0.5059283507691248,-0.4587491600089311,0.5581217929178307,True
AMD,posterior,volatility_pct,4.494153199677947,2.0808915842807854,3.044856765889597,False
AMD,posterior,q01_pct,-7.979640476405621,-11.011200583436489,-4.373585266693098,True
AMD,posterior,q99_pct,13.40913176536559,4.7246309147845,10.15196328979205,False
AMD,posterior,max_drawdown_pct,-27.760750910310115,-73.89737629248563,-13.7459740232731,True
AME,prior,mean_pct,0.10734318441620871,-0.4201175714783537,0.45522948229509874,True
AME,prior,volatility_pct,1.4597711982833297,0.2123767568645578,3.757111558008844,True
AME,prior,q01_pct,-3.2171865459531546,-9.347358394033476,-0.45114083776124775,True
AME,prior,q99_pct,3.776268884539595,0.48219812078311164,9.325640916818948,True
AME,prior,max_drawdown_pct,-13.567127363886211,-70.82048943965566,-1.2993932549424958,True
AME,posterior,mean_pct,0.10734318441620871,-0.2823027980656983,0.36128260198212026,True
AME,posterior,volatility_pct,1.4597711982833297,1.1872438738762199,2.1362421321681366,True
AME,posterior,q01_pct,-3.2171865459531546,-6.231661934030754,-2.5291815168940586,True
AME,posterior,q99_pct,3.776268884539595,2.532655566409294,5.833540958485965,True
AME,posterior,max_drawdown_pct,-13.567127363886211,-57.0326292177493,-8.03932218917464,True
AMGN,prior,mean_pct,0.19190817211551803,-0.4201175714783537,0.45522948229509874,True
AMGN,prior,volatility_pct,1.7303946665220455,0.2123767568645578,3.757111558008844,True
AMGN,prior,q01_pct,-3.0451624281704426,-9.347358394033476,-0.45114083776124775,True
AMGN,prior,q99_pct,5.258592255413522,0.48219812078311164,9.325640916818948,True
AMGN,prior,max_drawdown_pct,-16.567908999232262,-70.82048943965566,-1.2993932549424958,True
AMGN,posterior,mean_pct,0.19190817211551803,-0.362065800911848,0.4030204426899777,True
AMGN,posterior,volatility_pct,1.7303946665220455,1.3744762634665522,3.7628136246470123,True
AMGN,posterior,q01_pct,-3.0451624281704426,-10.438013588253007,-2.8983126748225194,True
AMGN,posterior,q99_pct,5.258592255413522,3.0956207080967686,9.015501848664107,True
AMGN,posterior,max_drawdown_pct,-16.567908999232262,-70.13670278119035,-9.3963133985493,True
AMP,prior,mean_pct,0.04988458390045025,-0.4201175714783537,0.45522948229509874,True
AMP,prior,volatility_pct,1.6028615690447487,0.2123767568645578,3.757111558008844,True
AMP,prior,q01_pct,-4.129128679633141,-9.347358394033476,-0.45114083776124775,True
AMP,prior,q99_pct,4.144367910921569,0.48219812078311164,9.325640916818948,True
AMP,prior,max_drawdown_pct,-20.866731330594778,-70.82048943965566,-1.2993932549424958,True
AMP,posterior,mean_pct,0.04988458390045025,-0.25163043331279433,0.4472988272457922,True
AMP,posterior,volatility_pct,1.6028615690447487,1.3391479072230927,2.525558588789034,True
