target,window_start,as_of,horizon_days,var_95_pct,var_95_posterior_q05_pct,var_95_posterior_q95_pct,historical_var_95_pct,expected_shortfall_95_pct,es_95_posterior_q05_pct,es_95_posterior_q95_pct,historical_es_95_pct,predictive_return_median_pct,realized_forward_return_pct
EW,2016-02-04,2017-02-08,20,2.961170971393585,1.8082959800958636,3.945645749568939,3.4475344439477267,4.150828684214503,2.7312889397144318,5.06830286979675,4.054870355465147,0.8122265338897705,-1.4040794494905362
VOO,2016-03-07,2017-03-10,20,3.4070360660552983,1.8590915203094482,4.493008017539976,2.063023263647825,4.955472498356054,2.914993703365326,6.402869641780854,2.771788358160927,1.2517988681793213,-0.5756200940031042
GLD,2016-03-07,2017-03-10,20,6.911510229110718,4.535191580653191,8.556787937879559,6.951211431581597,8.996160060632974,6.285864621400833,10.74956601858139,8.413903322634093,0.11082291603088379,4.131797257089009
TLT,2016-03-07,2017-03-10,20,5.761483311653137,3.956898048520088,7.337623000144957,7.904850024508016,7.472887542098761,5.377708315849304,9.031342267990112,8.644497649926809,0.37553906440734863,3.1688212429333396
EW,2016-03-07,2017-03-10,20,3.2059267163276672,1.9228999018669126,4.119679406285286,3.4475344439477267,4.293932117676983,3.003987669944763,5.259253025054931,4.054870355465147,0.5976557731628418,2.237521247576346
VOO,2016-04-06,2017-04-10,20,3.5204154253005977,1.99125275015831,4.683940544724463,2.063023263647825,5.067175712125996,3.232227563858032,6.5902322828769675,2.771788358160927,0.8935689926147461,1.7263899342833566
GLD,2016-04-06,2017-04-10,20,5.897248983383179,3.5303808301687236,7.498472079634659,6.951211431581597,8.027595766664792,5.109769433736801,9.774804800748823,8.413903322634093,0.6893277168273926,-2.854508671395062
TLT,2016-04-06,2017-04-10,20,5.629073977470398,3.604814291000366,7.678469955921171,7.904850024508016,7.459980358059208,5.013237744569778,9.152032405138016,8.644497649926809,0.6200432777404785,-0.32824259001400513
EW,2016-04-06,2017-04-10,20,2.9387512803077698,1.5955981016159058,3.8942052870988846,3.4475344439477267,4.027424337497601,2.505490392446518,4.90553331375122,4.054870355465147,0.7851839065551758,-0.4804885686416682
VOO,2016-05-05,2017-05-10,20,3.635925352573395,1.998406276106834,4.96129962801933,1.8363074127785484,5.151426761100689,3.218090295791626,6.807273298501968,2.6776426876171517,0.7446110248565674,1.6166808834568114
GLD,2016-05-05,2017-05-10,20,6.079937517642975,4.13441464304924,7.855205208063124,6.951211431581597,7.98693251175185,5.618220269680023,9.935649961233137,8.413903322634093,0.2179861068725586,4.834540301697787
TLT,2016-05-05,2017-05-10,20,5.228830873966217,3.2525265961885457,6.905692815780639,7.904850024508016,6.927047561233242,4.5807174146175385,8.449694573879235,8.644497649926809,0.7799267768859863,3.630445768028512
EW,2016-05-05,2017-05-10,20,3.000975251197815,1.6584598422050476,3.8681520372629166,3.4475344439477267,4.087254762028655,2.646550625562668,5.197941243648527,4.054870355465147,0.6047189235687256,3.376559643451049
VOO,2016-06-06,2017-06-09,20,3.2342547178268433,2.0592397898435593,4.274168521165843,1.6075215987269864,4.6953707972231005,3.1920478641986847,5.965553104877471,2.31124257086216,0.8925497531890869,0.03496167659327032
GLD,2016-06-06,2017-06-09,20,5.425278544425964,2.990156158804893,6.806807011365887,6.951211431581597,7.030464701044063,4.226559698581696,8.975890606641768,8.413903322634093,0.7158815860748291,-4.2060723878517
TLT,2016-06-06,2017-06-09,20,5.24323970079422,3.4494989514350887,6.843525886535642,7.904850024508016,7.003688986878842,4.820910483598709,8.778185844421383,8.644497649926809,0.7990598678588867,-1.0016166984136876
EW,2016-06-06,2017-06-09,20,2.74653822183609,1.4528112411499023,3.65443880856037,3.4475344439477267,3.7916535239977143,2.3025027215480804,4.952607065439222,4.054870355465147,0.8259475231170654,-1.7208347897425869
VOO,2016-07-06,2017-07-11,20,3.0119970440864563,1.9059225171804426,4.035253122448921,1.6075215987269864,4.268139274790883,2.8616361916065216,5.696212857961654,2.31124257086216,0.9324073791503906,2.149305792494749
GLD,2016-07-06,2017-07-11,20,5.3626203536987305,3.4665291011333466,6.673761233687399,6.951211431581597,7.072502657926331,4.852657645940781,8.491154819726944,8.413903322634093,0.39287805557250977,3.667183673280938
TLT,2016-07-06,2017-07-11,20,5.235624611377716,3.2747358977794643,6.742641583085059,7.904850024508016,6.923412504450728,4.6704899072647095,8.59239202737808,8.644497649926809,0.6583511829376221,1.446558361826833
EW,2016-07-06,2017-07-11,20,2.8331345319747925,1.585906773805618,3.786146029829978,3.4475344439477267,3.8824010252331695,2.531699687242508,4.912154912948608,4.054870355465147,0.6623148918151855,2.427115290376136
VOO,2016-08-04,2017-08-09,20,3.1130409240722656,1.904029756784439,3.9298747628927226,1.6075215987269864,4.359243367798626,2.961963415145874,5.502837926149368,2.31124257086216,0.825965404510498,-0.13214294319219277
GLD,2016-08-04,2017-08-09,20,4.718905091285706,3.119905412197112,6.024814546108245,6.951211431581597,6.4526213449425995,4.322590857744217,8.226102501153944,8.413903322634093,0.7839798927307129,5.621966417833524
TLT,2016-08-04,2017-08-09,20,4.873572885990143,2.9216022938489914,6.35057410597801,7.904850024508016,6.529624375980347,4.33576762676239,8.25352230668068,8.644497649926809,0.8829593658447266,3.3888371682314844
EW,2016-08-04,2017-08-09,20,2.5129300355911255,1.551066741347313,3.190041050314903,3.4475344439477267,3.5629845806397498,2.468149960041046,4.866782933473587,4.054870355465147,0.8426070213317871,2.963010211751871
VOO,2016-09-02,2017-09-08,20,2.9837352037429805,1.8210543096065521,3.8849429488182063,1.4755895752583603,4.269288468640298,2.7786927223205566,5.409713834524154,2.0047270264625663,0.9670794010162354,3.744212961158788
GLD,2016-09-02,2017-09-08,20,4.265565276145935,2.5529925525188446,5.66773547232151,6.951211431581597,5.805741033206383,3.838157325983047,7.452962905168534,8.413903322634093,1.2153923511505127,-5.376263825259231
TLT,2016-09-02,2017-09-08,20,4.627694189548492,3.062247276306152,5.869045615196226,7.904850024508016,6.303211099778612,4.574748545885086,7.899469196796413,8.644497649926809,0.9139657020568848,-3.999915020260858
EW,2016-09-02,2017-09-08,20,2.307039499282837,1.1757503896951675,3.0190059095621105,3.4475344439477267,3.2445724587887526,2.0836368799209595,3.9227213263511644,4.054870355465147,1.054692268371582,-1.93789395850128
